add device 1: /dev/input/event1
  name:     "Sleep Button"
add device 2: /dev/input/event0
  name:     "Power Button"
add device 3: /dev/input/event2
  name:     "Video Bus"
add device 4: /dev/input/event4
  name:     "AT Raw Set 2 keyboard"
add device 5: /dev/input/event3
  name:     "AT Translated Set 2 keyboard"
add device 6: /dev/input/event8
  name:     "BlueStacks Virtual Touch"
add device 7: /dev/input/event6
  name:     "BlueStacks Virtual Mouse"
add device 8: /dev/input/event7
  name:     "AT Translated Set 2 keyboard"
add device 9: /dev/input/event5
  name:     "VirtualBox mouse integration"
[1528436904.463435] /dev/input/event6: EV_ABS       ABS_X                000062f1            
[1528436904.463435] /dev/input/event6: EV_ABS       ABS_Y                00002fbc            
[1528436904.463435] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.479221] /dev/input/event6: EV_ABS       ABS_X                00005a4c            
[1528436904.479221] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.497473] /dev/input/event6: EV_ABS       ABS_X                000055d4            
[1528436904.497473] /dev/input/event6: EV_ABS       ABS_Y                00003043            
[1528436904.497473] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.519752] /dev/input/event6: EV_ABS       ABS_X                00004903            
[1528436904.519752] /dev/input/event6: EV_ABS       ABS_Y                0000322f            
[1528436904.519752] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.528927] /dev/input/event6: EV_ABS       ABS_X                00004596            
[1528436904.528927] /dev/input/event6: EV_ABS       ABS_Y                000032e2            
[1528436904.528927] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.547530] /dev/input/event6: EV_ABS       ABS_X                000043a6            
[1528436904.547530] /dev/input/event6: EV_ABS       ABS_Y                00003395            
[1528436904.547530] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.576486] /dev/input/event6: EV_ABS       ABS_X                000041b6            
[1528436904.576486] /dev/input/event6: EV_ABS       ABS_Y                00003448            
[1528436904.576486] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.590768] /dev/input/event6: EV_ABS       ABS_X                00004144            
[1528436904.590768] /dev/input/event6: EV_ABS       ABS_Y                00003475            
[1528436904.590768] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.593027] /dev/input/event6: EV_ABS       ABS_X                00003e6f            
[1528436904.593027] /dev/input/event6: EV_ABS       ABS_Y                00003608            
[1528436904.593027] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.609571] /dev/input/event6: EV_ABS       ABS_X                00003b74            
[1528436904.609571] /dev/input/event6: EV_ABS       ABS_Y                00003741            
[1528436904.609571] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.632796] /dev/input/event6: EV_ABS       ABS_X                000038c5            
[1528436904.632796] /dev/input/event6: EV_ABS       ABS_Y                000038d4            
[1528436904.632796] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.643384] /dev/input/event6: EV_ABS       ABS_X                000035f1            
[1528436904.643384] /dev/input/event6: EV_ABS       ABS_Y                00003987            
[1528436904.643384] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.663108] /dev/input/event6: EV_ABS       ABS_X                000032f6            
[1528436904.663108] /dev/input/event6: EV_ABS       ABS_Y                00003ac1            
[1528436904.663108] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.676533] /dev/input/event6: EV_ABS       ABS_X                00003021            
[1528436904.676533] /dev/input/event6: EV_ABS       ABS_Y                00003bfa            
[1528436904.676533] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.696680] /dev/input/event6: EV_ABS       ABS_X                00002d4c            
[1528436904.696680] /dev/input/event6: EV_ABS       ABS_Y                00003d8d            
[1528436904.696680] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.711441] /dev/input/event6: EV_ABS       ABS_X                000028fa            
[1528436904.711441] /dev/input/event6: EV_ABS       ABS_Y                00003ef3            
[1528436904.711441] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.728415] /dev/input/event6: EV_ABS       ABS_X                000027a3            
[1528436904.728415] /dev/input/event6: EV_ABS       ABS_Y                00003f79            
[1528436904.728415] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.743994] /dev/input/event6: EV_ABS       ABS_X                0000251a            
[1528436904.743994] /dev/input/event6: EV_ABS       ABS_Y                00004139            
[1528436904.743994] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.774190] /dev/input/event6: EV_ABS       ABS_X                0000245b            
[1528436904.774190] /dev/input/event6: EV_ABS       ABS_Y                000041ec            
[1528436904.774190] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.777544] /dev/input/event6: EV_ABS       ABS_X                0000240f            
[1528436904.777544] /dev/input/event6: EV_ABS       ABS_Y                00004219            
[1528436904.777544] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.794891] /dev/input/event6: EV_ABS       ABS_X                000023c3            
[1528436904.794891] /dev/input/event6: EV_ABS       ABS_Y                000042cc            
[1528436904.794891] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.822157] /dev/input/event6: EV_ABS       ABS_X                0000239d            
[1528436904.822157] /dev/input/event6: EV_ABS       ABS_Y                000042f9            
[1528436904.822157] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.827888] /dev/input/event6: EV_ABS       ABS_X                00002376            
[1528436904.827888] /dev/input/event6: EV_ABS       ABS_Y                00004325            
[1528436904.827888] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.901194] /dev/input/event6: EV_ABS       ABS_X                00002350            
[1528436904.901194] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.911042] /dev/input/event6: EV_ABS       ABS_X                000022de            
[1528436904.911042] /dev/input/event6: EV_ABS       ABS_Y                000042cc            
[1528436904.911042] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.928761] /dev/input/event6: EV_ABS       ABS_X                00002245            
[1528436904.928761] /dev/input/event6: EV_ABS       ABS_Y                000041ec            
[1528436904.928761] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.944250] /dev/input/event6: EV_ABS       ABS_X                00002160            
[1528436904.944250] /dev/input/event6: EV_ABS       ABS_Y                00004139            
[1528436904.944250] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.965914] /dev/input/event6: EV_ABS       ABS_X                000020ee            
[1528436904.965914] /dev/input/event6: EV_ABS       ABS_Y                000040df            
[1528436904.965914] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.984594] /dev/input/event6: EV_ABS       ABS_X                00002055            
[1528436904.984594] /dev/input/event6: EV_ABS       ABS_Y                00004059            
[1528436904.984594] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.996294] /dev/input/event6: EV_ABS       ABS_Y                00004000            
[1528436904.996294] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.018593] /dev/input/event6: EV_ABS       ABS_X                00001fe3            
[1528436905.018593] /dev/input/event6: EV_ABS       ABS_Y                00003f79            
[1528436905.018593] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.044636] /dev/input/event6: EV_ABS       ABS_Y                00003f4c            
[1528436905.044636] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.067168] /dev/input/event6: EV_ABS       ABS_Y                00003ef3            
[1528436905.067168] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.245672] /dev/input/event6: EV_ABS       ABS_Y                00003ec6            
[1528436905.245672] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.256919] /dev/input/event7: EV_MSC       MSC_SCAN             000000db            
[1528436905.256919] /dev/input/event7: EV_SYN       SYN_REPORT           00000000            
[1528436905.256986] /dev/input/event7: EV_MSC       MSC_SCAN             000000dc            
[1528436905.256986] /dev/input/event7: EV_SYN       SYN_REPORT           00000000            
[1528436905.257069] /dev/input/event7: EV_MSC       MSC_SCAN             000000dd            
[1528436905.257069] /dev/input/event7: EV_SYN       SYN_REPORT           00000000            
[1528436905.257136] /dev/input/event7: EV_MSC       MSC_SCAN             00000038            
[1528436905.257136] /dev/input/event7: EV_SYN       SYN_REPORT           00000000            
[1528436905.257167] /dev/input/event7: EV_MSC       MSC_SCAN             00000038            
[1528436905.257167] /dev/input/event7: EV_SYN       SYN_REPORT           00000000            
[1528436905.257198] /dev/input/event7: EV_MSC       MSC_SCAN             00000036            
[1528436905.257198] /dev/input/event7: EV_SYN       SYN_REPORT           00000000            
[1528436905.257248] /dev/input/event7: EV_MSC       MSC_SCAN             0000001d            
[1528436905.257248] /dev/input/event7: EV_SYN       SYN_REPORT           00000000            
[1528436905.260773] /dev/input/event7: EV_MSC       MSC_SCAN             00000000            
[1528436905.260773] /dev/input/event7: EV_SYN       SYN_REPORT           00000000            
[1528436905.261164] /dev/input/event8: EV_ABS       ABS_MT_POSITION_X    00001fe2            
[1528436905.261164] /dev/input/event8: EV_ABS       ABS_MT_POSITION_Y    00003ec5            
[1528436905.261164] /dev/input/event8: EV_SYN       SYN_MT_REPORT        00000000            
[1528436905.261164] /dev/input/event8: EV_SYN       SYN_REPORT           00000000            
[1528436905.261216] /dev/input/event8: EV_ABS       ABS_MT_POSITION_X    00001fe2            
[1528436905.261216] /dev/input/event8: EV_ABS       ABS_MT_POSITION_Y    00003ec5            
[1528436905.261216] /dev/input/event8: EV_SYN       SYN_MT_REPORT        00000000            
[1528436905.261216] /dev/input/event8: EV_SYN       SYN_REPORT           00000000            
[1528436905.277458] /dev/input/event8: EV_SYN       SYN_MT_REPORT        00000000            
[1528436905.277458] /dev/input/event8: EV_SYN       SYN_REPORT           00000000            
[1528436905.512646] /dev/input/event6: EV_ABS       ABS_X                0000226b            
[1528436905.512646] /dev/input/event6: EV_ABS       ABS_Y                00003cda            
[1528436905.512646] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.537233] /dev/input/event6: EV_ABS       ABS_X                000025ff            
[1528436905.537233] /dev/input/event6: EV_ABS       ABS_Y                00003a67            
[1528436905.537233] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.564978] /dev/input/event6: EV_ABS       ABS_X                000037ba            
[1528436905.564978] /dev/input/event6: EV_ABS       ABS_Y                00002eb0            
[1528436905.564978] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.580202] /dev/input/event6: EV_ABS       ABS_X                00003b9a            
[1528436905.580202] /dev/input/event6: EV_ABS       ABS_Y                00002cf0            
[1528436905.580202] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.600379] /dev/input/event6: EV_ABS       ABS_X                000047ac            
[1528436905.600379] /dev/input/event6: EV_ABS       ABS_Y                0000261e            
[1528436905.600379] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.612234] /dev/input/event6: EV_ABS       ABS_X                00004ce3            
[1528436905.612234] /dev/input/event6: EV_ABS       ABS_Y                00002325            
[1528436905.612234] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.631867] /dev/input/event6: EV_ABS       ABS_X                00005077            
[1528436905.631867] /dev/input/event6: EV_ABS       ABS_Y                000020df            
[1528436905.631867] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.643990] /dev/input/event6: EV_ABS       ABS_X                000052b3            
[1528436905.643990] /dev/input/event6: EV_ABS       ABS_Y                00001fd3            
[1528436905.643990] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.665472] /dev/input/event6: EV_ABS       ABS_X                000053e4            
[1528436905.665472] /dev/input/event6: EV_ABS       ABS_Y                00001ef3            
[1528436905.665472] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.686670] /dev/input/event6: EV_ABS       ABS_X                000054a3            
[1528436905.686670] /dev/input/event6: EV_ABS       ABS_Y                00001e13            
[1528436905.686670] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.694010] /dev/input/event6: EV_ABS       ABS_X                000054ef            
[1528436905.694010] /dev/input/event6: EV_ABS       ABS_Y                00001de6            
[1528436905.694010] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.862092] /dev/input/event6: EV_ABS       ABS_X                0000553b            
