add device 1: /dev/input/event1
  name:     "Sleep Button"
add device 2: /dev/input/event0
  name:     "Power Button"
add device 3: /dev/input/event2
  name:     "Video Bus"
add device 4: /dev/input/event4
  name:     "AT Raw Set 2 keyboard"
add device 5: /dev/input/event3
  name:     "AT Translated Set 2 keyboard"
add device 6: /dev/input/event8
  name:     "BlueStacks Virtual Touch"
add device 7: /dev/input/event6
  name:     "BlueStacks Virtual Mouse"
add device 8: /dev/input/event7
  name:     "AT Translated Set 2 keyboard"
add device 9: /dev/input/event5
  name:     "VirtualBox mouse integration"
[1528283729.365593] /dev/input/event6: EV_ABS       ABS_Y                0000584e            
[1528283729.365593] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283729.379269] /dev/input/event6: EV_ABS       ABS_X                00006579            
[1528283729.379269] /dev/input/event6: EV_ABS       ABS_Y                00005d06            
[1528283729.379269] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283729.399628] /dev/input/event6: EV_ABS       ABS_X                00005240            
[1528283729.399628] /dev/input/event6: EV_ABS       ABS_Y                0000602c            
[1528283729.399628] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283729.406481] /dev/input/event6: EV_ABS       ABS_X                00004334            
[1528283729.406481] /dev/input/event6: EV_ABS       ABS_Y                00006192            
[1528283729.406481] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283729.431469] /dev/input/event6: EV_ABS       ABS_X                0000338e            
[1528283729.431469] /dev/input/event6: EV_ABS       ABS_Y                00006352            
[1528283729.431469] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283729.445381] /dev/input/event6: EV_ABS       ABS_X                00002ef0            
[1528283729.445381] /dev/input/event6: EV_ABS       ABS_Y                000063d8            
[1528283729.445381] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283729.469465] /dev/input/event6: EV_ABS       ABS_X                00002aea            
[1528283729.469465] /dev/input/event6: EV_ABS       ABS_Y                00006432            
[1528283729.469465] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283729.472945] /dev/input/event6: EV_ABS       ABS_X                000027ef            
[1528283729.472945] /dev/input/event6: EV_ABS       ABS_Y                000063d8            
[1528283729.472945] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283729.494358] /dev/input/event6: EV_ABS       ABS_X                000027c9            
[1528283729.494358] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283729.890354] /dev/input/event6: EV_ABS       ABS_X                00002ea3            
[1528283729.890354] /dev/input/event6: EV_ABS       ABS_Y                00006325            
[1528283729.890354] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283729.892074] /dev/input/event6: EV_ABS       ABS_X                000044d7            
[1528283729.892074] /dev/input/event6: EV_ABS       ABS_Y                00006245            
[1528283729.892074] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283729.906611] /dev/input/event6: EV_ABS       ABS_X                0000528d            
[1528283729.906611] /dev/input/event6: EV_ABS       ABS_Y                000061bf            
[1528283729.906611] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283729.941237] /dev/input/event6: EV_ABS       ABS_X                00005a26            
[1528283729.941237] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283729.955362] /dev/input/event6: EV_ABS       ABS_X                00005e52            
[1528283729.955362] /dev/input/event6: EV_ABS       ABS_Y                00006139            
[1528283729.955362] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283729.957803] /dev/input/event6: EV_ABS       ABS_X                00005f5d            
[1528283729.957803] /dev/input/event6: EV_ABS       ABS_Y                000060df            
[1528283729.957803] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.022244] /dev/input/event6: EV_ABS       ABS_X                00005faa            
[1528283730.022244] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.049932] /dev/input/event6: EV_ABS       ABS_X                00005fd0            
[1528283730.049932] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.061863] /dev/input/event6: EV_ABS       ABS_X                0000601c            
[1528283730.061863] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.081770] /dev/input/event6: EV_ABS       ABS_X                00006042            
[1528283730.081770] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.116702] /dev/input/event6: EV_ABS       ABS_X                0000608f            
[1528283730.116702] /dev/input/event6: EV_ABS       ABS_Y                00006086            
[1528283730.116702] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.157696] /dev/input/event6: EV_ABS       ABS_X                0000620c            
[1528283730.157696] /dev/input/event6: EV_ABS       ABS_Y                00005d60            
[1528283730.157696] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.202553] /dev/input/event6: EV_ABS       ABS_X                000061c0            
[1528283730.202553] /dev/input/event6: EV_ABS       ABS_Y                00005d33            
[1528283730.202553] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.209229] /dev/input/event6: EV_ABS       ABS_X                00006173            
[1528283730.209229] /dev/input/event6: EV_ABS       ABS_Y                00005d06            
[1528283730.209229] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.224338] /dev/input/event6: EV_ABS       ABS_X                00006068            
[1528283730.224338] /dev/input/event6: EV_ABS       ABS_Y                00005c80            
[1528283730.224338] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.254264] /dev/input/event6: EV_ABS       ABS_X                00005fd0            
[1528283730.254264] /dev/input/event6: EV_ABS       ABS_Y                00005c53            
[1528283730.254264] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.298736] /dev/input/event6: EV_ABS       ABS_X                00005e78            
[1528283730.298736] /dev/input/event6: EV_ABS       ABS_Y                00005b74            
[1528283730.298736] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.316287] /dev/input/event6: EV_ABS       ABS_X                00005d47            
[1528283730.316287] /dev/input/event6: EV_ABS       ABS_Y                00005a94            
[1528283730.316287] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.327103] /dev/input/event6: EV_ABS       ABS_X                000052ff            
[1528283730.327103] /dev/input/event6: EV_ABS       ABS_Y                00005528            
[1528283730.327103] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.356228] /dev/input/event6: EV_ABS       ABS_X                00004c71            
[1528283730.356228] /dev/input/event6: EV_ABS       ABS_Y                000052b5            
[1528283730.356228] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.375200] /dev/input/event6: EV_ABS       ABS_X                00003a8f            
[1528283730.375200] /dev/input/event6: EV_ABS       ABS_Y                00004da3            
[1528283730.375200] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.409147] /dev/input/event6: EV_ABS       ABS_X                00003689            
[1528283730.409147] /dev/input/event6: EV_ABS       ABS_Y                00004d1d            
[1528283730.409147] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.412163] /dev/input/event6: EV_ABS       ABS_X                00003401            
[1528283730.412163] /dev/input/event6: EV_ABS       ABS_Y                00004c97            
[1528283730.412163] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.423679] /dev/input/event6: EV_ABS       ABS_X                00003093            
[1528283730.423679] /dev/input/event6: EV_ABS       ABS_Y                00004c10            
[1528283730.423679] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.516805] /dev/input/event6: EV_ABS       ABS_X                00002f62            
[1528283730.516805] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.517511] /dev/input/event6: EV_ABS       ABS_X                00002f3c            
[1528283730.517511] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.517561] /dev/input/event6: EV_ABS       ABS_X                00002f16            
[1528283730.517561] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.607275] /dev/input/event6: EV_ABS       ABS_X                00002f3c            
[1528283730.607275] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.608477] /dev/input/event6: EV_ABS       ABS_X                000030b9            
[1528283730.608477] /dev/input/event6: EV_ABS       ABS_Y                00004bb7            
[1528283730.608477] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.608666] /dev/input/event6: EV_ABS       ABS_X                00003401            
[1528283730.608666] /dev/input/event6: EV_ABS       ABS_Y                00004b8a            
[1528283730.608666] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283730.608719] /dev/input/event6: EV_ABS       ABS_X                0000395e            
[1528283730.608719] /dev/input/event6: EV_ABS       ABS_Y                00004a24            
[1528283730.608719] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
